num_step,num_tokens
738020,3095480238080
738000,3095396352000
737000,3091202048000
736000,3087007744000
735000,3082813440000
734000,3078619136000
733000,3074424832000
732000,3070230528000
731000,3066036224000
730000,3061841920000
720000,3019898880000
710000,2977955840000
701000,2940207104000
700000,2936012800000
699000,2931818496000
698000,2927624192000
697000,2923429888000
696000,2919235584000
695000,2915041280000
694000,2910846976000
693000,2906652672000
690000,2894069760000
680000,2852126720000
670000,2810183680000
660000,2768240640000
650000,2726297600000
640000,2684354560000
639650,2682886553600
639000,2680160256000
638000,2675965952000
637000,2671771648000
636000,2667577344000
635850,2666948198400
635000,2663383040000
634000,2659188736000
633000,2654994432000
632000,2650800128000
631000,2646605824000
630000,2642411520000
629000,2638217216000
628000,2634022912000
624150,2617874841600
624000,2617245696000
623000,2613051392000
622000,2608857088000
621000,2604662784000
620000,2600468480000
619000,2596274176000
618000,2592079872000
617000,2587885568000
616000,2583691264000
615000,2579496960000
612650,2569640345600
612000,2566914048000
611000,2562719744000
610000,2558525440000
609000,2554331136000
608000,2550136832000
607000,2545942528000
606000,2541748224000
605000,2537553920000
601000,2520776704000
600000,2516582400000
599000,2512388096000
598000,2508193792000
597000,2503999488000
596100,2500224614400
596000,2499805184000
595000,2495610880000
594000,2491416576000
593000,2487222272000
592000,2483027968000
591000,2478833664000
590000,2474639360000
589000,2470445056000
584550,2451780403200
584000,2449473536000
583000,2445279232000
582000,2441084928000
581000,2436890624000
580000,2432696320000
579000,2428502016000
578000,2424307712000
577000,2420113408000
572850,2402707046400
572000,2399141888000
571000,2394947584000
570000,2390753280000
569000,2386558976000
568000,2382364672000
567000,2378170368000
566000,2373976064000
565000,2369781760000
561250,2354053120000
561000,2353004544000
560000,2348810240000
559000,2344615936000
558000,2340421632000
557000,2336227328000
556000,2332033024000
555000,2327838720000
554000,2323644416000
550000,2306867200000
549700,2305608908800
549000,2302672896000
548000,2298478592000
547000,2294284288000
546000,2290089984000
545000,2285895680000
544000,2281701376000
543000,2277507072000
542000,2273312768000
540000,2264924160000
538100,2256954982400
538000,2256535552000
537000,2252341248000
536000,2248146944000
535000,2243952640000
534000,2239758336000
533000,2235564032000
532000,2231369728000
531000,2227175424000
530000,2222981120000
527150,2211027353600
527000,2210398208000
526000,2206203904000
525000,2202009600000
524000,2197815296000
523000,2193620992000
522000,2189426688000
521000,2185232384000
520000,2181038080000
516250,2165309440000
516000,2164260864000
515000,2160066560000
514000,2155872256000
513000,2151677952000
512000,2147483648000
511000,2143289344000
510000,2139095040000
509000,2134900736000
505000,2118123520000
504200,2114768076800
504000,2113929216000
503000,2109734912000
502000,2105540608000
501000,2101346304000
500000,2097152000000
499000,2092957696000
498000,2088763392000
497000,2084569088000
493050,2068001587200
493000,2067791872000
492000,2063597568000
491000,2059403264000
490000,2055208960000
489000,2051014656000
488000,2046820352000
487000,2042626048000
486000,2038431744000
482050,2021864243200
482000,2021654528000
481000,2017460224000
480000,2013265920000
479000,2009071616000
478000,2004877312000
477000,2000683008000
476000,1996488704000
475000,1992294400000
470750,1974468608000
470000,1971322880000
469000,1967128576000
468000,1962934272000
467000,1958739968000
466000,1954545664000
465000,1950351360000
464000,1946157056000
463000,1941962752000
460000,1929379840000
459400,1926863257600
459000,1925185536000
458000,1920991232000
457000,1916796928000
456000,1912602624000
455000,1908408320000
454000,1904214016000
453000,1900019712000
452000,1895825408000
450000,1887436800000
448000,1879048192000
447000,1874853888000
446000,1870659584000
445000,1866465280000
444000,1862270976000
443400,1859754393600
443000,1858076672000
442000,1853882368000
441000,1849688064000
440000,1845493760000
439000,1841299456000
438000,1837105152000
437000,1832910848000
436000,1828716544000
431900,1811519897600
431000,1807745024000
430000,1803550720000
429000,1799356416000
428000,1795162112000
427000,1790967808000
426000,1786773504000
425000,1782579200000
424000,1778384896000
420650,1764333977600
420000,1761607680000
419000,1757413376000
418000,1753219072000
417000,1749024768000
416000,1744830464000
415000,1740636160000
414000,1736441856000
413000,1732247552000
410000,1719664640000
409000,1715470336000
408000,1711276032000
407000,1707081728000
406000,1702887424000
405000,1698693120000
404150,1695127961600
404000,1694498816000
403000,1690304512000
402000,1686110208000
401000,1681915904000
400000,1677721600000
399000,1673527296000
398000,1669332992000
397000,1665138688000
392550,1646474035200
392000,1644167168000
391000,1639972864000
390000,1635778560000
389000,1631584256000
388000,1627389952000
387000,1623195648000
386000,1619001344000
385000,1614807040000
381000,1598029824000
380000,1593835520000
379000,1589641216000
378000,1585446912000
377000,1581252608000
376000,1577058304000
375000,1572864000000
374000,1568669696000
373000,1564475392000
371900,1559861657600
371000,1556086784000
370000,1551892480000
369000,1547698176000
368000,1543503872000
367000,1539309568000
366000,1535115264000
365000,1530920960000
364000,1526726656000
360850,1513514598400
360000,1509949440000
359000,1505755136000
358000,1501560832000
357000,1497366528000
356000,1493172224000
355000,1488977920000
354000,1484783616000
353000,1480589312000
350000,1468006400000
349350,1465280102400
349000,1463812096000
348000,1459617792000
347000,1455423488000
346000,1451229184000
345000,1447034880000
344000,1442840576000
343000,1438646272000
342000,1434451968000
340000,1426063360000
337700,1416416460800
337000,1413480448000
336000,1409286144000
335000,1405091840000
334000,1400897536000
333000,1396703232000
332000,1392508928000
331000,1388314624000
330000,1384120320000
117850,494298726400
117000,490733568000
116000,486539264000
115000,482344960000
114000,478150656000
113000,473956352000
112000,469762048000
111000,465567744000
110000,461373440000
106000,444596224000
105000,440401920000
104000,436207616000
103000,432013312000
102000,427819008000
101000,423624704000
100000,419430400000
99000,415236096000
98000,411041792000
97000,406847488000
96000,402653184000
95000,398458880000
90000,377487360000
80000,335544320000
71000,297795584000
70000,293601280000
69000,289406976000
68000,285212672000
67000,281018368000
66000,276824064000
65000,272629760000
64000,268435456000
63000,264241152000
60000,251658240000
59000,247463936000
58000,243269632000
57000,239075328000
56000,234881024000
55000,230686720000
54000,226492416000
53000,222298112000
52000,218103808000
50000,209715200000
40000,167772160000
30000,125829120000
20000,83886080000
