W&B Run ID,W&B URL,Checkpoints Location,Tokens Reached,Notes
n761ckim,https://wandb.ai/ai2-llm/olmo-medium/runs/n761ckim,s3://ai2-llm/checkpoints/7b/mitchish-lumi,"1,912,841,699,328",
s63r1dze,https://wandb.ai/ai2-llm/olmo-medium/runs/s63r1dze,s3://ai2-llm/checkpoints/7b/mitchish-lumi,"1,862,270,976,000",
lualc6sf,https://wandb.ai/ai2-llm/olmo-medium/runs/lualc6sf,/scratch/project_462000229/checkpoints/5307103,"1,858,705,817,600",
z1gcqs1y,https://wandb.ai/ai2-llm/olmo-medium/runs/z1gcqs1y,/scratch/project_462000229/checkpoints/5235002,"1,809,049,452,544",
qs7w6w53,https://wandb.ai/ai2-llm/olmo-medium/runs/qs7w6w53,/scratch/project_462000229/checkpoints/5211152,"1,741,026,230,272",
cmash3bz,https://wandb.ai/ai2-llm/olmo-medium/runs/cmash3bz,/scratch/project_462000229/checkpoints/5139412,"1,608,305,868,800",
3rvuwvew,https://wandb.ai/ai2-llm/olmo-medium/runs/3rvuwvew,/scratch/project_462000229/checkpoints/5122842,"1,475,975,577,600",
kya6t318,https://wandb.ai/ai2-llm/olmo-medium/runs/kya6t318,/scratch/project_462000229/checkpoints/5079547,"1,346,124,120,064",
71r8xird,https://wandb.ai/ai2-llm/olmo-medium/runs/71r8xird,/scratch/project_462000229/checkpoints/5074623,"1,278,004,428,800",
7qe3jywj,https://wandb.ai/ai2-llm/olmo-medium/runs/7qe3jywj,/scratch/project_462000229/checkpoints/5070211,"1,149,239,296,000",
rto0vcbk,https://wandb.ai/ai2-llm/olmo-medium/runs/rto0vcbk,/scratch/project_462000229/checkpoints/5054254,"1,022,781,030,400",
m9j3x5o0,https://wandb.ai/ai2-llm/olmo-medium/runs/m9j3x5o0,/scratch/project_462000229/checkpoints/5043439,"992,162,611,200",
im54vfs8,https://wandb.ai/ai2-llm/olmo-medium/runs/im54vfs8,/scratch/project_462000229/checkpoints/4984563,"988,387,737,600",
v6je6zon,https://wandb.ai/ai2-llm/olmo-medium/runs/v6je6zon,/scratch/project_462000229/checkpoints/4969731,"854,379,724,800",
nzw0h387,https://wandb.ai/ai2-llm/olmo-medium/runs/nzw0h387,/scratch/project_462000229/checkpoints/4960081,"725,320,990,720",
aznf5iwj,https://wandb.ai/ai2-llm/olmo-medium/runs/aznf5iwj,/scratch/project_462000229/checkpoints/4960081,"706,866,053,120",
03rx6g79,https://wandb.ai/ai2-llm/olmo-medium/runs/03rx6g79,/scratch/project_462000229/checkpoints/4952168,"659,973,734,400",
lp1ynh47,https://wandb.ai/ai2-llm/olmo-medium/runs/lp1ynh47,/scratch/project_462000229/checkpoints/4934066,"528,226,451,456",
vgkz4o76,https://wandb.ai/ai2-llm/olmo-medium/runs/vgkz4o76,/scratch/project_462000229/checkpoints/4909260,"494,298,726,400",
vpxr4bil,https://wandb.ai/ai2-llm/olmo-medium/runs/vpxr4bil,/scratch/project_462000229/checkpoints/4896746,"375,390,208,000",
gd4pltei,https://wandb.ai/ai2-llm/olmo-medium/runs/gd4pltei,/pfs/lustref1/flash/project_462000229/checkpoints/4895851,"260,042,653,696",
j8qk3cgd,https://wandb.ai/ai2-llm/olmo-medium/runs/j8qk3cgd,/pfs/lustref1/flash/project_462000229/checkpoints/4886437,"256,804,651,008",
2fi6zuqd,https://wandb.ai/ai2-llm/olmo-medium/runs/2fi6zuqd,/pfs/lustref1/flash/project_462000229/checkpoints/4863617,"140,928,614,400",
fi03r8h0,https://wandb.ai/ai2-llm/olmo-medium/runs/fi03r8h0,/pfs/lustref1/flash/project_462000229/checkpoints/4862984,"4,299,161,600",
